OID,CustomerID,Date,Location,Item,Item Type,Quantity,Unit Cost,Total Cost,Payment Type,Rating,Restaurant
51765,ID3489,2021-05-16 ,Narsingi,Dal,Veg,9,180,1620,Google Pay,2,Adhya Grand
5022,ID9856,2023-12-06 ,Narsingi,Dal,Veg,9,180,1620,Cash,3,New Punjabi Hotel
10238,ID1228,2022-12-19 ,Kokapet,Mutton,Non Veg,9,350,3150,Google Pay,5,Tandoor Hut
83157,ID6103,2023-06-17 ,Nanakramguda,Fish,Non Veg,2,320,640,Google Pay,4,New Punjabi Hotel
37421,ID9981,2021-11-22 ,Kokapet,Chicken,Non Veg,10,250,2500,Google Pay,1,New Punjabi Hotel
13941,ID1043,2022-10-16 ,Hitech City,Puri,Veg,5,60,300,Google Pay,4,Balaji Hotel
11574,ID8238,2020-05-17 ,Madhapur,Mutton,Non Veg,9,350,3150,Phone Pay,5,Adhya Grand
30969,ID9794,2021-04-10 ,Kokapet,Poha,Veg,1,70,70,Google Pay,1,Balaji Hotel
78474,ID9207,2024-05-21 ,Narsingi,Poha,Veg,8,70,560,Phone Pay,4,Tandoor Hut
98061,ID5346,2020-04-01 ,Narsingi,Chicken,Non Veg,3,250,750,Google Pay,5,New Punjabi Hotel
19826,ID5750,2020-11-26 ,Hitech City,Poha,Veg,5,70,350,Cash,3,New Punjabi Hotel
73748,ID3363,2022-02-12 ,Madhapur,Puri,Veg,6,60,360,Cash,2,Adhya Grand
32627,ID5691,2022-09-20 ,Nanakramguda,Chicken,Non Veg,3,250,750,Phone Pay,3,Balaji Hotel
43538,ID8155,2021-12-27 ,Nanakramguda,Chicken,Non Veg,8,250,2000,Cash,2,Balaji Hotel
14745,ID8563,2020-06-16 ,Gachibowli,Dosa,Veg,10,60,600,Phone Pay,1,New Punjabi Hotel
7674,ID6061,2020-04-09 ,Hitech City,Dal,Veg,9,180,1620,Phone Pay,1,Balaji Hotel
86109,ID9680,2020-12-05 ,Gachibowli,Chapathi,Veg,5,15,75,Google Pay,2,Adhya Grand
9196,ID6979,2022-10-28 ,Nanakramguda,Fish,Non Veg,1,320,320,Google Pay,3,Adhya Grand
30695,ID8271,2021-02-17 ,Gachibowli,Dal,Veg,4,180,720,Google Pay,4,Kaveri Restaurant
67744,ID6027,2024-05-20 ,Narsingi,Poha,Veg,1,70,70,Cash,4,Kaveri Restaurant
65110,ID9828,2021-04-19 ,Kokapet,Chicken,Non Veg,7,250,1750,Phone Pay,5,Kaveri Restaurant
56203,ID2318,2022-07-20 ,Madhapur,Dosa,Veg,2,60,120,Cash,3,Hotel CVR
